"Ano","Espécie","Anos de Serviço do Segurado","Sexo","Clientela","Qte Benefícios Concedidos","Vlr Benefícios Concedidos (R$)","Vlr Benef Concedidos (Mil R$)"
"1996","46-Ap Tempo Contrib Especial","18 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","Outras Ap Tempo Contrib","18 Anos","Masculino","Urbana","4","2185,59","2,19"
"1996","Outras Ap Tempo Contrib","18 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","19 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","19 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","46-Ap Tempo Contrib Especial","19 Anos","Masculino","Urbana","12","6134,48","6,13"
"1996","46-Ap Tempo Contrib Especial","19 Anos","Feminino","Urbana","2","904,84","0,90"
"1996","Outras Ap Tempo Contrib","19 Anos","Masculino","Urbana","3","2558,51","2,56"
"1996","Outras Ap Tempo Contrib","19 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","20 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","20 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","46-Ap Tempo Contrib Especial","20 Anos","Masculino","Urbana","35","21896,60","21,90"
"1996","46-Ap Tempo Contrib Especial","20 Anos","Feminino","Urbana","1","481,71","0,48"
"1996","Outras Ap Tempo Contrib","20 Anos","Masculino","Urbana","6","6924,30","6,92"
"1996","Outras Ap Tempo Contrib","20 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","21 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","21 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","46-Ap Tempo Contrib Especial","21 Anos","Masculino","Urbana","26","15733,28","15,73"
"1996","46-Ap Tempo Contrib Especial","21 Anos","Feminino","Urbana","2","503,99","0,50"
"1996","Outras Ap Tempo Contrib","21 Anos","Masculino","Urbana","3","3543,89","3,54"
"1996","Outras Ap Tempo Contrib","21 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","22 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","22 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","46-Ap Tempo Contrib Especial","22 Anos","Masculino","Urbana","29","17078,35","17,08"
"1996","46-Ap Tempo Contrib Especial","22 Anos","Feminino","Urbana","3","1234,33","1,23"
"1996","Outras Ap Tempo Contrib","22 Anos","Masculino","Urbana","4","16977,17","16,98"
"1996","Outras Ap Tempo Contrib","22 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","23 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","23 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","46-Ap Tempo Contrib Especial","23 Anos","Masculino","Urbana","26","15474,08","15,47"
"1996","46-Ap Tempo Contrib Especial","23 Anos","Feminino","Urbana","2","966,99","0,97"
"1996","Outras Ap Tempo Contrib","23 Anos","Masculino","Urbana","6","6838,53","6,84"
"1996","Outras Ap Tempo Contrib","23 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","24 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","24 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","46-Ap Tempo Contrib Especial","24 Anos","Masculino","Urbana","45","28634,32","28,63"
"1996","46-Ap Tempo Contrib Especial","24 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","Outras Ap Tempo Contrib","24 Anos","Masculino","Urbana","4","3543,36","3,54"
"1996","Outras Ap Tempo Contrib","24 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","25 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","25 Anos","Feminino","Urbana","20809","7323897,19","7323,90"
"1996","46-Ap Tempo Contrib Especial","25 Anos","Masculino","Urbana","7172","4754757,57","4754,76"
"1996","46-Ap Tempo Contrib Especial","25 Anos","Feminino","Urbana","828","421821,99","421,82"
"1996","Outras Ap Tempo Contrib","25 Anos","Masculino","Urbana","14","9631,63","9,63"
"1996","Outras Ap Tempo Contrib","25 Anos","Feminino","Urbana","1335","745949,03","745,95"
"1996","42-Ap Tempo Contrib Lops","26 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","26 Anos","Feminino","Urbana","7247","2723062,46","2723,06"
"1996","46-Ap Tempo Contrib Especial","26 Anos","Masculino","Urbana","2525","1666418,18","1666,42"
"1996","46-Ap Tempo Contrib Especial","26 Anos","Feminino","Urbana","171","97121,07","97,12"
"1996","Outras Ap Tempo Contrib","26 Anos","Masculino","Urbana","8","11440,80","11,44"
"1996","Outras Ap Tempo Contrib","26 Anos","Feminino","Urbana","195","110106,27","110,11"
"1996","42-Ap Tempo Contrib Lops","27 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","27 Anos","Feminino","Urbana","5452","2286335,35","2286,34"
"1996","46-Ap Tempo Contrib Especial","27 Anos","Masculino","Urbana","1396","934094,88","934,09"
"1996","46-Ap Tempo Contrib Especial","27 Anos","Feminino","Urbana","97","60176,86","60,18"
"1996","Outras Ap Tempo Contrib","27 Anos","Masculino","Urbana","4","3083,40","3,08"
"1996","Outras Ap Tempo Contrib","27 Anos","Feminino","Urbana","104","55680,89","55,68"
"1996","42-Ap Tempo Contrib Lops","28 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","28 Anos","Feminino","Urbana","4316","1992236,10","1992,24"
"1996","46-Ap Tempo Contrib Especial","28 Anos","Masculino","Urbana","884","596086,91","596,09"
"1996","46-Ap Tempo Contrib Especial","28 Anos","Feminino","Urbana","48","29639,65","29,64"
"1996","Outras Ap Tempo Contrib","28 Anos","Masculino","Urbana","7","18325,29","18,33"
"1996","Outras Ap Tempo Contrib","28 Anos","Feminino","Urbana","61","34744,19","34,74"
"1996","42-Ap Tempo Contrib Lops","29 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","29 Anos","Feminino","Urbana","3500","1692834,58","1692,83"
"1996","46-Ap Tempo Contrib Especial","29 Anos","Masculino","Urbana","541","365071,24","365,07"
"1996","46-Ap Tempo Contrib Especial","29 Anos","Feminino","Urbana","30","17483,61","17,48"
"1996","Outras Ap Tempo Contrib","29 Anos","Masculino","Urbana","6","2451,34","2,45"
"1996","Outras Ap Tempo Contrib","29 Anos","Feminino","Urbana","33","15505,29","15,51"
"1996","42-Ap Tempo Contrib Lops","30 Anos","Masculino","Urbana","62756","26005657,69","26005,66"
"1996","42-Ap Tempo Contrib Lops","30 Anos","Feminino","Urbana","6957","3832693,00","3832,69"
"1996","46-Ap Tempo Contrib Especial","30 Anos","Masculino","Urbana","304","210438,44","210,44"
"1996","46-Ap Tempo Contrib Especial","30 Anos","Feminino","Urbana","15","9564,19","9,56"
"1996","Outras Ap Tempo Contrib","30 Anos","Masculino","Urbana","79","60712,27","60,71"
"1996","Outras Ap Tempo Contrib","30 Anos","Feminino","Urbana","24","11389,77","11,39"
"1996","42-Ap Tempo Contrib Lops","31 Anos","Masculino","Urbana","34649","15810308,78","15810,31"
"1996","42-Ap Tempo Contrib Lops","31 Anos","Feminino","Urbana","2186","1184683,37","1184,68"
"1996","46-Ap Tempo Contrib Especial","31 Anos","Masculino","Urbana","135","90609,87","90,61"
"1996","46-Ap Tempo Contrib Especial","31 Anos","Feminino","Urbana","7","5456,38","5,46"
"1996","Outras Ap Tempo Contrib","31 Anos","Masculino","Urbana","32","27495,08","27,50"
"1996","Outras Ap Tempo Contrib","31 Anos","Feminino","Urbana","22","13572,95","13,57"
"1996","42-Ap Tempo Contrib Lops","32 Anos","Masculino","Urbana","31370","15807285,29","15807,29"
"1996","42-Ap Tempo Contrib Lops","32 Anos","Feminino","Urbana","1174","625521,16","625,52"
"1996","46-Ap Tempo Contrib Especial","32 Anos","Masculino","Urbana","72","48905,20","48,91"
"1996","46-Ap Tempo Contrib Especial","32 Anos","Feminino","Urbana","2","916,48","0,92"
"1996","Outras Ap Tempo Contrib","32 Anos","Masculino","Urbana","9","12711,35","12,71"
"1996","Outras Ap Tempo Contrib","32 Anos","Feminino","Urbana","12","4708,29","4,71"
"1996","42-Ap Tempo Contrib Lops","33 Anos","Masculino","Urbana","26819","14726197,56","14726,20"
"1996","42-Ap Tempo Contrib Lops","33 Anos","Feminino","Urbana","690","373593,31","373,59"
"1996","46-Ap Tempo Contrib Especial","33 Anos","Masculino","Urbana","56","40175,22","40,18"
"1996","46-Ap Tempo Contrib Especial","33 Anos","Feminino","Urbana","3","1242,61","1,24"
"1996","Outras Ap Tempo Contrib","33 Anos","Masculino","Urbana","9","5437,19","5,44"
"1996","Outras Ap Tempo Contrib","33 Anos","Feminino","Urbana","8","2523,20","2,52"
"1996","42-Ap Tempo Contrib Lops","34 Anos","Masculino","Urbana","24426","14507632,43","14507,63"
"1996","42-Ap Tempo Contrib Lops","34 Anos","Feminino","Urbana","446","236505,34","236,51"
"1996","46-Ap Tempo Contrib Especial","34 Anos","Masculino","Urbana","35","25981,88","25,98"
"1996","46-Ap Tempo Contrib Especial","34 Anos","Feminino","Urbana","2","1636,09","1,64"
"1996","Outras Ap Tempo Contrib","34 Anos","Masculino","Urbana","7","11892,70","11,89"
"1996","Outras Ap Tempo Contrib","34 Anos","Feminino","Urbana","3","793,00","0,79"
"1996","42-Ap Tempo Contrib Lops","35 Anos","Masculino","Urbana","32764","20953010,75","20953,01"
"1996","42-Ap Tempo Contrib Lops","35 Anos","Feminino","Urbana","301","163733,64","163,73"
"1996","46-Ap Tempo Contrib Especial","35 Anos","Masculino","Urbana","43","26616,72","26,62"
"1996","46-Ap Tempo Contrib Especial","35 Anos","Feminino","Urbana","1","129,69","0,13"
"1996","Outras Ap Tempo Contrib","35 Anos","Masculino","Urbana","11","15757,94","15,76"
"1996","Outras Ap Tempo Contrib","35 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","36 Anos","Masculino","Urbana","13963","8796640,70","8796,64"
"1996","42-Ap Tempo Contrib Lops","36 Anos","Feminino","Urbana","172","100082,55","100,08"
"1996","46-Ap Tempo Contrib Especial","36 Anos","Masculino","Urbana","28","19251,85","19,25"
"1996","46-Ap Tempo Contrib Especial","36 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","Outras Ap Tempo Contrib","36 Anos","Masculino","Urbana","7","14306,11","14,31"
"1996","Outras Ap Tempo Contrib","36 Anos","Feminino","Urbana","2","1199,38","1,20"
"1996","42-Ap Tempo Contrib Lops","37 Anos","Masculino","Urbana","8093","5087886,85","5087,89"
"1996","42-Ap Tempo Contrib Lops","37 Anos","Feminino","Urbana","101","55583,90","55,58"
"1996","46-Ap Tempo Contrib Especial","37 Anos","Masculino","Urbana","13","8435,31","8,44"
"1996","46-Ap Tempo Contrib Especial","37 Anos","Feminino","Urbana","1","832,60","0,83"
"1996","Outras Ap Tempo Contrib","37 Anos","Masculino","Urbana","3","2995,72","3,00"
"1996","Outras Ap Tempo Contrib","37 Anos","Feminino","Urbana","2","1001,04","1,00"
"1996","42-Ap Tempo Contrib Lops","38 Anos","Masculino","Urbana","5040","3236836,59","3236,84"
"1996","42-Ap Tempo Contrib Lops","38 Anos","Feminino","Urbana","69","39685,24","39,69"
"1996","46-Ap Tempo Contrib Especial","38 Anos","Masculino","Urbana","5","3748,96","3,75"
"1996","46-Ap Tempo Contrib Especial","38 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","Outras Ap Tempo Contrib","38 Anos","Masculino","Urbana","1","818,04","0,82"
"1996","Outras Ap Tempo Contrib","38 Anos","Feminino","Urbana","2","3882,82","3,88"
"1996","42-Ap Tempo Contrib Lops","39 Anos","Masculino","Urbana","3111","1988819,99","1988,82"
"1996","42-Ap Tempo Contrib Lops","39 Anos","Feminino","Urbana","40","25108,65","25,11"
"1996","46-Ap Tempo Contrib Especial","39 Anos","Masculino","Urbana","10","7114,68","7,11"
"1996","46-Ap Tempo Contrib Especial","39 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","Outras Ap Tempo Contrib","39 Anos","Masculino","Urbana","1","808,86","0,81"
"1996","Outras Ap Tempo Contrib","39 Anos","Feminino","Urbana","1","334,43","0,33"
"1996","42-Ap Tempo Contrib Lops","40 Anos e Mais","Masculino","Urbana","5228","3456975,44","3456,98"
"1996","42-Ap Tempo Contrib Lops","40 Anos e Mais","Feminino","Urbana","145","90522,61","90,52"
"1996","46-Ap Tempo Contrib Especial","40 Anos e Mais","Masculino","Urbana","10","7566,63","7,57"
"1996","46-Ap Tempo Contrib Especial","40 Anos e Mais","Feminino","Urbana","0","0,00","0,00"
"1996","Outras Ap Tempo Contrib","40 Anos e Mais","Masculino","Urbana","19","29705,54","29,71"
"1996","Outras Ap Tempo Contrib","40 Anos e Mais","Feminino","Urbana","2","1780,79","1,78"
"1996","42-Ap Tempo Contrib Lops","Ignorado","Masculino","Urbana","96","28126,36","28,13"
"1996","42-Ap Tempo Contrib Lops","Ignorado","Feminino","Urbana","19","3144,14","3,14"
"1996","46-Ap Tempo Contrib Especial","Ignorado","Masculino","Urbana","497","277205,42","277,21"
"1996","46-Ap Tempo Contrib Especial","Ignorado","Feminino","Urbana","16","6528,37","6,53"
"1996","Outras Ap Tempo Contrib","Ignorado","Masculino","Urbana","1","339,58","0,34"
"1996","Outras Ap Tempo Contrib","Ignorado","Feminino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","Até 15 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","Até 15 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","46-Ap Tempo Contrib Especial","Até 15 Anos","Masculino","Urbana","20","12939,24","12,94"
"1997","46-Ap Tempo Contrib Especial","Até 15 Anos","Feminino","Urbana","1","724,86","0,72"
"1997","Outras Ap Tempo Contrib","Até 15 Anos","Masculino","Urbana","16","14392,02","14,39"
"1997","Outras Ap Tempo Contrib","Até 15 Anos","Feminino","Urbana","1","2813,32","2,81"
"1997","42-Ap Tempo Contrib Lops","16 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","16 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","46-Ap Tempo Contrib Especial","16 Anos","Masculino","Urbana","7","6254,76","6,25"
"1997","46-Ap Tempo Contrib Especial","16 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","Outras Ap Tempo Contrib","16 Anos","Masculino","Urbana","2","3760,96","3,76"
"1997","Outras Ap Tempo Contrib","16 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","17 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","17 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","46-Ap Tempo Contrib Especial","17 Anos","Masculino","Urbana","5","3544,08","3,54"
"1997","46-Ap Tempo Contrib Especial","17 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","Outras Ap Tempo Contrib","17 Anos","Masculino","Urbana","2","1365,96","1,37"
"1997","Outras Ap Tempo Contrib","17 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","18 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","18 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","46-Ap Tempo Contrib Especial","18 Anos","Masculino","Urbana","3","704,37","0,70"
"1997","46-Ap Tempo Contrib Especial","18 Anos","Feminino","Urbana","1","841,32","0,84"
"1997","Outras Ap Tempo Contrib","18 Anos","Masculino","Urbana","1","1092,72","1,09"
"1997","Outras Ap Tempo Contrib","18 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","19 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","19 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","46-Ap Tempo Contrib Especial","19 Anos","Masculino","Urbana","3","1764,96","1,76"
"1997","46-Ap Tempo Contrib Especial","19 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","Outras Ap Tempo Contrib","19 Anos","Masculino","Urbana","1","311,88","0,31"
"1997","Outras Ap Tempo Contrib","19 Anos","Feminino","Urbana","1","614,09","0,61"
"1997","42-Ap Tempo Contrib Lops","20 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","20 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","46-Ap Tempo Contrib Especial","20 Anos","Masculino","Urbana","13","10658,31","10,66"
"1997","46-Ap Tempo Contrib Especial","20 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","Outras Ap Tempo Contrib","20 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","Outras Ap Tempo Contrib","20 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","21 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","21 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","46-Ap Tempo Contrib Especial","21 Anos","Masculino","Urbana","9","8300,64","8,30"
"1997","46-Ap Tempo Contrib Especial","21 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","Outras Ap Tempo Contrib","21 Anos","Masculino","Urbana","5","6943,09","6,94"
"1997","Outras Ap Tempo Contrib","21 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","22 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","22 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","46-Ap Tempo Contrib Especial","22 Anos","Masculino","Urbana","7","6043,32","6,04"
"1997","46-Ap Tempo Contrib Especial","22 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","Outras Ap Tempo Contrib","22 Anos","Masculino","Urbana","1","2446,30","2,45"
"1997","Outras Ap Tempo Contrib","22 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","23 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","23 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","46-Ap Tempo Contrib Especial","23 Anos","Masculino","Urbana","7","4497,91","4,50"
"1997","46-Ap Tempo Contrib Especial","23 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","Outras Ap Tempo Contrib","23 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","Outras Ap Tempo Contrib","23 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","24 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","24 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","46-Ap Tempo Contrib Especial","24 Anos","Masculino","Urbana","8","5270,27","5,27"
"1997","46-Ap Tempo Contrib Especial","24 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","Outras Ap Tempo Contrib","24 Anos","Masculino","Urbana","4","5773,80","5,77"
"1997","Outras Ap Tempo Contrib","24 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","25 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","25 Anos","Feminino","Urbana","31961","13356889,31","13356,89"
"1997","46-Ap Tempo Contrib Especial","25 Anos","Masculino","Urbana","3120","2318639,23","2318,64"
"1997","46-Ap Tempo Contrib Especial","25 Anos","Feminino","Urbana","374","218225,58","218,23"
"1997","Outras Ap Tempo Contrib","25 Anos","Masculino","Urbana","17","26744,96","26,74"
"1997","Outras Ap Tempo Contrib","25 Anos","Feminino","Urbana","1317","831648,93","831,65"
"1997","42-Ap Tempo Contrib Lops","26 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","26 Anos","Feminino","Urbana","12498","5526821,32","5526,82"
"1997","46-Ap Tempo Contrib Especial","26 Anos","Masculino","Urbana","977","699437,39","699,44"
"1997","46-Ap Tempo Contrib Especial","26 Anos","Feminino","Urbana","54","35465,08","35,47"
"1997","Outras Ap Tempo Contrib","26 Anos","Masculino","Urbana","5","3399,32","3,40"
"1997","Outras Ap Tempo Contrib","26 Anos","Feminino","Urbana","252","153929,13","153,93"
"1997","42-Ap Tempo Contrib Lops","27 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","27 Anos","Feminino","Urbana","9389","4603338,58","4603,34"
"1997","46-Ap Tempo Contrib Especial","27 Anos","Masculino","Urbana","578","417549,80","417,55"
"1997","46-Ap Tempo Contrib Especial","27 Anos","Feminino","Urbana","37","25573,57","25,57"
"1997","Outras Ap Tempo Contrib","27 Anos","Masculino","Urbana","2","1893,00","1,89"
"1997","Outras Ap Tempo Contrib","27 Anos","Feminino","Urbana","124","79197,93","79,20"
"1997","42-Ap Tempo Contrib Lops","28 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","28 Anos","Feminino","Urbana","7418","3969198,46","3969,20"
"1997","46-Ap Tempo Contrib Especial","28 Anos","Masculino","Urbana","332","247020,80","247,02"
"1997","46-Ap Tempo Contrib Especial","28 Anos","Feminino","Urbana","20","12862,35","12,86"
"1997","Outras Ap Tempo Contrib","28 Anos","Masculino","Urbana","3","3344,88","3,34"
"1997","Outras Ap Tempo Contrib","28 Anos","Feminino","Urbana","78","50666,05","50,67"
"1997","42-Ap Tempo Contrib Lops","29 Anos","Masculino","Urbana","0","0,00","0,00"
"1997","42-Ap Tempo Contrib Lops","29 Anos","Feminino","Urbana","6182","3563732,23","3563,73"
"1997","46-Ap Tempo Contrib Especial","29 Anos","Masculino","Urbana","196","142466,56","142,47"
"1997","46-Ap Tempo Contrib Especial","29 Anos","Feminino","Urbana","11","6337,02","6,34"
"1997","Outras Ap Tempo Contrib","29 Anos","Masculino","Urbana","1","112,00","0,11"
"1997","Outras Ap Tempo Contrib","29 Anos","Feminino","Urbana","35","20755,83","20,76"
"1997","42-Ap Tempo Contrib Lops","30 Anos","Masculino","Urbana","89606","43074351,87","43074,35"
"1997","42-Ap Tempo Contrib Lops","30 Anos","Feminino","Urbana","9256","5830175,71","5830,18"
"1997","46-Ap Tempo Contrib Especial","30 Anos","Masculino","Urbana","118","86963,82","86,96"
"1997","46-Ap Tempo Contrib Especial","30 Anos","Feminino","Urbana","3","916,64","0,92"
"1997","Outras Ap Tempo Contrib","30 Anos","Masculino","Urbana","73","59580,21","59,58"
"1997","Outras Ap Tempo Contrib","30 Anos","Feminino","Urbana","18","10020,42","10,02"
"1997","42-Ap Tempo Contrib Lops","31 Anos","Masculino","Urbana","52699","27316799,05","27316,80"
"1997","42-Ap Tempo Contrib Lops","31 Anos","Feminino","Urbana","3405","2065045,60","2065,05"
"1997","46-Ap Tempo Contrib Especial","31 Anos","Masculino","Urbana","58","45641,46","45,64"
"1997","46-Ap Tempo Contrib Especial","31 Anos","Feminino","Urbana","3","1848,08","1,85"
"1997","Outras Ap Tempo Contrib","31 Anos","Masculino","Urbana","18","23429,39","23,43"
"1997","Outras Ap Tempo Contrib","31 Anos","Feminino","Urbana","15","10023,78","10,02"
"1997","42-Ap Tempo Contrib Lops","32 Anos","Masculino","Urbana","43695","24925783,52","24925,78"
"1997","42-Ap Tempo Contrib Lops","32 Anos","Feminino","Urbana","1597","1007397,54","1007,40"
"1997","46-Ap Tempo Contrib Especial","32 Anos","Masculino","Urbana","49","38477,06","38,48"
"1997","46-Ap Tempo Contrib Especial","32 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","Outras Ap Tempo Contrib","32 Anos","Masculino","Urbana","13","10711,86","10,71"
"1997","Outras Ap Tempo Contrib","32 Anos","Feminino","Urbana","10","7261,71","7,26"
"1997","42-Ap Tempo Contrib Lops","33 Anos","Masculino","Urbana","35566","22020169,12","22020,17"
"1997","42-Ap Tempo Contrib Lops","33 Anos","Feminino","Urbana","939","608073,30","608,07"
"1997","46-Ap Tempo Contrib Especial","33 Anos","Masculino","Urbana","16","13124,84","13,12"
"1997","46-Ap Tempo Contrib Especial","33 Anos","Feminino","Urbana","1","711,64","0,71"
"1997","Outras Ap Tempo Contrib","33 Anos","Masculino","Urbana","3","2754,52","2,75"
"1997","Outras Ap Tempo Contrib","33 Anos","Feminino","Urbana","7","5094,44","5,09"
"1997","42-Ap Tempo Contrib Lops","34 Anos","Masculino","Urbana","29685","19725858,37","19725,86"
"1997","42-Ap Tempo Contrib Lops","34 Anos","Feminino","Urbana","580","366174,19","366,17"
"1997","46-Ap Tempo Contrib Especial","34 Anos","Masculino","Urbana","13","9763,15","9,76"
"1997","46-Ap Tempo Contrib Especial","34 Anos","Feminino","Urbana","0","0,00","0,00"
"1997","Outras Ap Tempo Contrib","34 Anos","Masculino","Urbana","6","4132,74","4,13"
"1997","Outras Ap Tempo Contrib","34 Anos","Feminino","Urbana","5","2469,14","2,47"
"1997","42-Ap Tempo Contrib Lops","35 Anos","Masculino","Urbana","34340","24403121,48","24403,12"
"1997","42-Ap Tempo Contrib Lops","35 Anos","Feminino","Urbana","408","292125,15","292,13"
